Class;Units;Avg_Mass (kg);Avg_Purchase;Purchase_Min;Purchase_Max;Start_date;End_date;Year;Month
BC;24.0;75.76;24.13;21.0;27.5;2017/03/13;2017/03/19;2017;3
BU;8.0;75.11;23.02;22.0;26.0;2017/03/13;2017/03/19;2017;3
BS;2.0;71.0;26.67;26.0;27.3;2017/03/13;2017/03/19;2017;3
PP;2775.0;53.78;26.91;25.92;31.46;2017/03/13;2017/03/19;2017;3
PO;244.0;52.48;27.67;26.0;29.31;2017/03/13;2017/03/19;2017;3
PR;28.0;51.7;25.75;18.29;29.75;2017/03/13;2017/03/19;2017;3
PC;6.0;52.58;25.95;24.7;29.0;2017/03/13;2017/03/19;2017;3
PU;2.0;47.55;15.88;13.0;21.5;2017/03/13;2017/03/19;2017;3
PS;6.0;35.15;19.13;17.5;29.0;2017/03/13;2017/03/19;2017;3
SAS;558.0;155.77;17.92;10.0;20.0;2017/03/13;2017/03/19;2017;3
HP;3206.0;83.09;26.51;25.85;29.25;2017/03/13;2017/03/19;2017;3
HO;4142.0;86.16;26.64;25.74;29.07;2017/03/13;2017/03/19;2017;3
HR;698.0;88.53;25.82;24.9;29.0;2017/03/13;2017/03/19;2017;3
HC;64.0;91.5;20.67;19.0;27.3;2017/03/13;2017/03/19;2017;3
HU;11.0;91.86;17.37;17.0;19.7;2017/03/13;2017/03/19;2017;3
HS;4.0;89.85;17.14;16.0;27.3;2017/03/13;2017/03/19;2017;3
CP;1679.0;65.22;28.17;25.0;29.97;2017/03/13;2017/03/19;2017;3
CO;328.0;65.06;27.86;25.0;30.0;2017/03/13;2017/03/19;2017;3
CR;47.0;62.81;27.93;23.0;28.5;2017/03/13;2017/03/19;2017;3
CC;4.0;61.2;27.3;27.3;27.3;2017/03/13;2017/03/19;2017;3
CS;1.0;65.4;27.3;27.3;27.3;2017/03/13;2017/03/19;2017;3
SAB;77.0;135.68;11.52;8.0;20.0;2017/03/13;2017/03/19;2017;3
BP;5122.0;73.66;23.94;22.36;26.75;2016/03/21;2016/03/27;2016;3
BO;2320.0;74.82;24.21;22.51;25.0;2016/03/21;2016/03/27;2016;3
BR;216.0;76.33;23.24;15.2;24.5;2016/03/21;2016/03/27;2016;3
BC;22.0;77.21;20.63;13.3;24.5;2016/03/21;2016/03/27;2016;3
BU;2.0;80.9;16.89;13.0;20.0;2016/03/21;2016/03/27;2016;3
BS;8.0;67.98;12.88;11.0;20.0;2016/03/21;2016/03/27;2016;3
PP;1305.0;49.4;24.98;20.92;27.18;2016/03/21;2016/03/27;2016;3
PO;173.0;50.13;24.9;20.47;27.2;2016/03/21;2016/03/27;2016;3
PR;27.0;49.83;24.38;17.0;25.5;2016/03/21;2016/03/27;2016;3
PC;6.0;44.98;16.62;14.0;24.0;2016/03/21;2016/03/27;2016;3
PS;2.0;47.3;18.21;14.0;24.0;2016/03/21;2016/03/27;2016;3
HP;2000.0;85.39;23.89;22.8;24.5;2016/03/21;2016/03/27;2016;3
HO;1768.0;87.62;23.94;20.22;24.5;2016/03/21;2016/03/27;2016;3
